question,answer
Amazon Q Business로부터 문서에 포함된 이미지에 대한 답변을 받을 수 있나요?,"예. Amazon Q Business는 PDF, Microsoft PowerPoint 및 Word, Google Docs 및 Presentations를 포함하여 문서에 포함된 다이어그램, 정보 그래픽, 차트, 이미지 기반 콘텐츠와 같은 시각적 요소를 통해 답변을 표시할 수 있습니다."
Amazon Q Business는 HIPAA 적격인가요?,"예. Amazon Q Business는 HIPAA 적격 서비스이므로, 의료 및 생명 과학 조직은 이제 이를 사용하여 HIPAA(미국 건강 보험 양도 및 책임에 관한 법)에 따라 규제되는 민감한 워크로드를 실행할 수 있습니다."
Amazon Q Apps란 무엇이며 사용자는 어떻게 앱을 생성할 수 있나요?,Amazon Q Apps를 사용하면 Amazon Q Business의 엔터프라이즈 데이터를 기반으로 생성형 AI로 구동되는 사용자 지정 앱을 생성할 수 있습니다. 사용자는 Amazon Q Business와의 대화를 통해 앱 요구 사항을 자연어로 설명하거나 공유 앱에서 복사본을 생성하여 한 단계로 앱을 생성할 수 있습니다.
Amazon Q Apps 및 앱 라이브러리에 대한 액세스를 관리할 수 있나요?,예. 관리자는 Amazon Q 콘솔의 Amazon Q Business 애플리케이션 기능 설정을 통해 웹 경험 사용자가 Amazon Q Apps를 생성하고 실행하는 기능을 비활성화할 수 있습니다. 관리자는 라이브러리에서 게시된 앱을 제거할 수도 있습니다.
Amazon Q Apps를 사용하는 사람의 역할에 따라 다르게 반응하도록 Amazon Q Apps를 구성할 수 있나요?,"예. Amazon Q Business는 사용자 역할에 따라 응답을 구조화하는 기능이 이미 지원되고 있습니다. 연결된 데이터 소스에 대한 사용자 수준 권한의 ACL과 특정 사용자 그룹의 특정 주제를 차단하는 주제 수준 제어 기능을 제공합니다. 결과적으로, 이는 Amazon Q Apps의 출력에 반영됩니다. 또한 Amazon Q Apps는 Amazon Q Business에서 사용할 수 있는 개인화 기능을 활용합니다."
Amazon Q Apps 사용자는 피드백을 제공하려면 어떻게 해야 하나요?,Amazon Q Apps 라이브러리에는 사용자가 유용하다고 생각되는 게시된 앱을 추천할 수 있는 ‘좋아요’ 버튼이 있습니다. 사용자는 좋아요 및 싫어요 기능을 활용하여 Amazon Q 채팅 대화에서 생성된 프롬프트의 품질과 Amazon Q Apps Creator에서 생성된 새로운 앱의 품질에 대한 피드백을 보낼 수 있습니다.
Amazon Q Apps는 보안 및 거버넌스 제어를 어떻게 처리하나요?,"Amazon Q Apps는 Amazon Q Business의 엔터프라이즈급 보안 및 액세스 제어 기능을 그대로 지원하여 사용자 권한에 따라 적절한 데이터 액세스를 제공합니다. 인증, 권한 부여, 액세스 관리 간소화를 위해 AWS Identity and Access Management(IAM) 및 IAM 페더레이션과 통합됩니다. 관리자는 Amazon Q Apps에 대한 액세스를 완전히 비활성화할 수 있으며, 게시된 앱을 개별적으로 확인하고 공유 라이브러리에서 제거하여 강력한 엔터프라이즈 제어를 제공하고 조직 정책 및 규정을 준수할 수 있습니다. 또한 관리자는 앱 범주 레이블을 생성하여 앱 라이브러리를 특정 요구 사항에 맞게 조정할 수 있습니다. 앱 작성자는 1명 이상의 사용자와 앱을 공유하여 개인 정보 보호를 적용함으로써 앱의 가시성 및 사용을 제한할 수 있습니다."
Amazon Q Apps는 보안 및 거버넌스 제어를 어떻게 처리하나요?,"Amazon Q Apps는 Amazon Q Business의 엔터프라이즈급 보안 및 액세스 제어 기능을 그대로 지원하여 사용자 권한에 따라 적절한 데이터 액세스를 제공합니다. 인증, 권한 부여, 액세스 관리 간소화를 위해 AWS Identity and Access Management(IAM) 및 IAM 페더레이션과 통합됩니다. 관리자는 Amazon Q Apps에 대한 액세스를 완전히 비활성화할 수 있으며, 게시된 앱을 개별적으로 확인하고 공유 라이브러리에서 제거하여 강력한 엔터프라이즈 제어를 제공하고 조직 정책 및 규정을 준수할 수 있습니다. 또한 관리자는 앱 범주 레이블을 생성하여 앱 라이브러리를 특정 요구 사항에 맞게 조정할 수 있습니다. 앱 작성자는 한 명 이상의 사용자와 앱을 공유하여 프라이버시를 적용함으로써 앱의 가시성 및 사용을 제한할 수 있습니다."
Amazon Q Apps에 액세스하고 시작하려면 어떻게 해야 하나요?,Amazon Q Apps를 시작하려면Amazon Q Business 웹 환경을 설정하고 애플리케이션 설정에서 Amazon Q Apps가 활성화되어 있는지 확인하세요. 설정이 완료되면 Amazon Q Business 웹 애플리케이션에 액세스 가능한 사용자가 배포된 웹 경험 내에서 Amazon Q Apps를 액세스하고 생성할 수 있습니다. 자세한 내용은설명서를 참조하세요.
Amazon Q Apps를 다른 사람과 공유할 수 있나요?,예. 사용자는 앱을 특정 Amazon Q Business 멤버와 공유하거나 동일한 Amazon Q Business 애플리케이션 환경 내의 모든 사용자를 위한 공유 라이브러리에 게시할 수 있습니다. 승인된 모든 사용자는 게시된 Amazon Q Apps를 있는 그대로 실행하거나 특정한 니즈에 맞게 사용자 지정할 수 있습니다.
"Amazon Q Apps를 조직의 특정 부서(예: HR, 법무 및 재무 부서)와만 공유하려면 어떻게 해야 하나요?",주어진 Amazon Q Business 웹 환경의 모든 사용자는 게시된 Amazon Q Apps에 액세스할 수 있습니다. 특정 조직 단위에 대한 액세스를 제한하려면 별도의 Amazon Q Business 애플리케이션 환경을 생성해야 합니다.
Amazon Q Apps를 API를 통해 다른 애플리케이션과 함께 사용하고 통합할 수 있나요?,예. Amazon Q Apps 출력을 원활하게 생성하고 사용할 수 있게 해주는 API를 통해 원하는 도구와 엔터프라이즈 애플리케이션에 Amazon Q Apps의 기능을 활용할 수 있습니다.API 통합 가이드에서 자세히 알아보세요.
앱을 생성 또는 실행할 수 있는 사용자를 결정할 수 있나요?,관리자는 Amazon Q Business 콘솔의 사용자 액세스 및 구독 설정에서 앱 생성 및 실행 기능을 활성화하거나 비활성화할 수 있습니다.
앱에서 생성된 사용자 정보 및 출력을 수집할 수 있나요?,"예. Amazon Q 앱에 양식 카드를 추가하면 사용자 입력을 수집할 수 있습니다. 앱 작성자는 이러한 앱을 통해 사용자 정보를 수집할 수 있으며, 나중에 이 정보를 생성된 출력 및 추가 분석을 위한 데이터 소스로 사용할 수 있습니다."
앱에서 생성된 사용자 정보 및 출력을 수집할 수 있나요?,"예. Amazon Q 앱에 양식 카드를 추가하면 사용자 입력을 수집할 수 있습니다. 앱 작성자는 이러한 앱을 통해 사용자 정보를 수집할 수 있으며, 나중에 이 정보를 생성된 출력 및 추가 분석을 위한 데이터 소스로 사용할 수 있습니다."
