question,answer
Amazon Bedrock에서 지연 시간에 최적화된 추론을 시작하려면 어떻게 해야 하나요?,Amazon Bedrock에서 지연 시간에 최적화된 추론에 액세스하려면 추가 설정이나 모델 미세 조정이 필요하지 않으므로 기존 생성형 AI 애플리케이션을 더 빠른 응답 시간으로 즉시 개선할 수 있습니다. Bedrock inference API를 간접 호출하는 동안 ‘지연 시간 최적화’ 파라미터를 전환할 수 있습니다.시작하려면Amazon Bedrock 콘솔로 이동하세요. 자세한 내용은Amazon Bedrock 설명서를 참조하세요.
Amazon Bedrock 에이전트란 무엇인가요?,"Amazon Bedrock 에이전트는 개발자가 생성형 AI 기반 애플리케이션을 쉽게 만들 수 있게 해주는 완전관리형 기능으로, 독점적 지식 소스를 기반으로 다양한 사용 사례에 대한 작업을 완료하고 최신 답변을 제공할 수 있습니다. Amazon Bedrock 에이전트를 사용하면 수동 코딩 없이 간단한 몇 단계로 태스크를 자동으로 분류하고 오케스트레이션 계획을 만들 수 있습니다. 에이전트는 API를 통해 회사 데이터에 안전하게 연결하여 데이터를 시스템이 읽을 수 있는 형식으로 자동 변환하고 관련 정보로 요청을 강화함으로써 가장 정확한 응답을 생성합니다. 그런 다음 에이전트는 자동으로 API를 직접적으로 호출하여 사용자의 요청을 이행할 수 있습니다. 예를 들어 제조사는 재고 수준, 판매 데이터, 공급망 정보 추적을 자동화하고 효율성을 극대화하기 위해 최적의 재주문 시점과 수량을 추천할 수 있는 생성형 AI 애플리케이션을 개발하고자 할 수 있습니다. 완전관리형 기능인 Amazon Bedrock 에이전트로 시스템 통합 및 인프라 프로비저닝 관리라는 획일적인 작업을 처리하면 조직 전체에서 생성형 AI를 완벽하게 활용할 수 있습니다."
FM을 회사 데이터 소스에 연결하려면 어떻게 해야 하나요?,"Amazon Bedrock 에이전트를 사용하여 FM을 회사 데이터 소스에 안전하게 연결할 수 있습니다. 에이전트를 사용하여 Amazon Bedrock의 FM에 기술 자료를 제공할 수 있습니다. 모델은 이러한 추가 데이터에 액세스하여 관련성이 더 높고 상황에 따라 다르며 정확한 응답을 생성할 수 있습니다. 이렇게 하면 FM을 지속적으로 재훈련하지 않아도 됩니다. 에이전트는 사용자 입력을 기반으로 적절한 기술 자료를 식별하고, 관련 정보를 검색하고, 입력 프롬프트에 정보를 추가하여 모델에 더 많은 컨텍스트 정보를 제공함으로써 완성본을 생성합니다."
Amazon Bedrock 에이전트의 사용 사례에는 어떤 것이 있나요?,"Amazon Bedrock 에이전트는 생산성을 높이고, 고객 서비스 경험을 개선하고, 워크플로를 자동화(예: 보험 청구 처리)하는 데 도움이 될 수 있습니다."
Amazon Bedrock 에이전트는 개발자 생산성을 높이는 데 어떤 도움이 되나요?,"에이전트를 통해 개발자는 사용자 지정 코드를 작성하지 않고도 모니터링, 암호화, 사용자 권한, 버전 관리 및 API 간접 호출 관리를 원활하게 지원할 수 있습니다. Amazon Bedrock 에이전트는 사용자가 요청한 작업의 프롬프트 엔지니어링 및 오케스트레이션을 자동화합니다. 개발자는 에이전트를 통해 생성된 프롬프트 템플릿을 기준으로 이를 구체화하여 사용자 경험을 개선할 수 있습니다. 사용자 입력, 오케스트레이션 계획, FM 응답을 업데이트할 수 있습니다. 프롬프트 템플릿에 액세스할 수 있으므로 에이전트 오케스트레이션에 대한 제어가 강화됩니다.완전관리형 에이전트를 사용하면 인프라 프로비저닝이나 관리에 대해 걱정할 필요가 없으며 애플리케이션을 더 빠르게 프로덕션 환경에 도입할 수 있습니다."
Amazon Bedrock에서 처리한 콘텐츠는 내가 Amazon Bedrock를 사용하고 있는 AWS 리전 외부로 이동하나요?,"Amazon Bedrock에서 처리한 모든 고객 콘텐츠는 암호화되고, 고객이 Amazon Bedrock를 사용하고 있는 AWS 리전에 저장됩니다."
사용자 입력과 모델 출력이 서드 파티 모델 제공업체에 제공되나요?,아니요. 사용자 입력 및 모델 출력은 모델 제공업체와 공유되지 않습니다.
Amazon Bedrock은 어떤 보안 및 규정 준수 표준을 지원합니까?,"Amazon Bedrock은 보안 및 개인 정보 보호 요구 사항을 지원하는 여러 기능을 제공합니다. Amazon Bedrock은 Fedramp Moderate, SOC(Service and Organization Control), 국제표준화기구(ISO), 건강 보험 이전 및 책임법(HIPAA)과 같은 일반적인 규정 준수 표준의 범위 내에 있으며, 고객은 일반 데이터 보호 규정(GDPR)을 준수하면서 Bedrock을 사용할 수 있습니다. Amazon Bedrock은 SOC 1, 2, 3 보고서 범위에 포함되므로 AWS 보안 제어에 대한 인사이트를 얻을 수 있습니다. AWS는 AWS 규제에 대한 광범위한 서드 파티 감사를 통해 규정 준수를 입증합니다. Amazon Bedrock은 ISO 9001, ISO 27001, ISO 27017, ISO 27018, ISO 27701, ISO 22301, ISO 20000 표준에서 ISO 규정을 준수하는 AWS 서비스입니다. Amazon Bedrock은 AWS 클라우드 서비스의 모범 사례 사용 및 보안 상태를 검증하는 CSA STAR(Security Trust Assurance and Risk) 레벨 2 인증을 받았습니다. Amazon Bedrock에서 고객의 콘텐츠는 파운데이션 모델을 개선하는 데 사용되지 않으며 모델 제공업체와 공유되지 않습니다. AWS PrivateLink를 사용하여 Amazon VPC와 Amazon Bedrock 간의 비공개 연결을 설정하면 데이터가 인터넷 트래픽에 노출되지 않습니다."
"AWS와 서드 파티 모델 제공업체는 Amazon Nova, Amazon Titan 또는 서드 파티 모델을 훈련하는 데 Amazon Bedrock의 고객 입력 또는 출력을 사용하나요?","아니요. AWS와 서드 파티 모델 제공업체는 Amazon Nova, Amazon Titan 또는 서드 파티 모델을 훈련하는 데 Amazon Bedrock의 입력 또는 출력을 사용하지 않습니다."
Amazon Bedrock에서는 어떤 SDK를 지원합니까?,"Amazon Bedrock은 런타임 서비스를 위한 SDK를 지원합니다. iOS 및 Android SDK는 물론 Java, JS, Python, CLI, .Net, Ruby, PHP, Go 및 C++은 텍스트 및 음성 입력을 모두 지원합니다."
스트리밍 기능을 지원하는 SDK는 무엇입니까?,스트리밍은 모든 SDK에서 지원됩니다.
Amazon Bedrock의 요금은 얼마인가요?,최신 요금 정보는Amazon Bedrock 요금 페이지를 참조하세요.
Amazon Bedrock에는 어떤 지원이 제공됩니까?,"고객의 AWS Support 계약에 따라 Developer Support, Business Support 및 Enterprise Support 플랜으로 Amazon Bedrock 지원을 받을 수 있습니다."
입력 및 출력 토큰을 추적하려면 어떻게 해야 하나요?,CloudWatch 지표를 사용하여 입력 및 출력 토큰을 추적할 수 있습니다.
AWS Bedrock 사용량이 AWS Marketplace의 청구 항목으로 표시되는 이유는 무엇인가요?,특정 Bedrock 서버리스 모델 및 Bedrock Marketplace 모델에 대한 AWS Marketplace 청구서가 고객에게 표시됩니다. 이는AWS 서비스 약관섹션 50.12에 명시된 바와 같이 서드 파티 제공업체가 이러한 모델을 ‘서드 파티 콘텐츠’로 판매하기 때문입니다.
Amazon Bedrock은 지속적인 사전 훈련을 지원하나요?,"Amazon Bedrock에서 Amazon Titan Text Express와 Amazon Titan 모델에 대한 지속적인 사전 훈련을 시작했습니다. 지속적인 사전 훈련을 통해 레이블이 지정되지 않은 대량의 데이터를 사용하여 Amazon Titan 기본 모델에 대한 사전 훈련을 계속할 수 있습니다. 해당 유형의 훈련은 Amazon Titan 기본 모델의 기능 대부분을 유지하면서 일반 도메인 코퍼스의 모델을 의료, 법률, 금융 등 보다 구체적인 도메인 코퍼스에 맞게 적용합니다."
Amazon Bedrock에서 지속적 사전 훈련을 사용해야 하는 이유는 무엇인가요?,기업은 특정 도메인의 태스크를 위한 모델을 구축하고자 할 수 있습니다. 기본 모델은 특정 영역에서 사용되는 기술 전문 용어에 대해 훈련되지 않을 수 있습니다. 따라서 기본 모델을 직접 미세 조정하려면 레이블링된 많은 양의 훈련 레코드를 사용하여 장시간 훈련해야 정확한 결과를 얻을 수 있습니다. 이러한 부담을 줄이고 싶다면 레이블링되지 않은 다량의 데이터를 지속적인 사전 훈련 작업에 제공하면 됩니다. 이 작업은 Amazon Titan 기본 모델을 새 도메인에 맞게 조정합니다. 그러면 새롭게 사전 훈련된 사용자 지정 모델을 훨씬 적은 양의 레이블링된 훈련 레코드로 더 짧은 훈련 시간 내에 다운스트림 태스크에 맞게 미세 조정할 수 있습니다.
지속적인 사전 훈련 기능은 다른 AWS 서비스와 어떤 관련이 있나요?,"Amazon Bedrock의 지속적인 사전 훈련과 미세 조정에서 요구하는 조건은 매우 유사합니다. 이러한 이유로 우리는 지속적인 사전 훈련과 미세 조정을 모두 지원하는 통합 API를 만들기로 결정했습니다. API를 통합하면 학습 곡선이 줄어들고 고객이 표준 기능을 사용하는 데 도움이 됩니다. 예를 들어 Amazon EventBridge를 사용하여 장시간 실행되는 작업을 추적하고, Amazon S3 통합을 통해 훈련 데이터, 리소스 태그, 모델 암호화를 가져올 수 있습니다."
지속적인 사전 훈련을 사용하려면 어떻게 해야 하나요?,"지속적인 사전 훈련은 Amazon Titan 모델의 기본 기능을 유지하면서 도메인별 데이터에 맞게 Amazon Titan 모델을 조정하는 데 도움이 됩니다. 지속적인 사전 훈련 작업을 생성하려면 Amazon Bedrock 콘솔로 이동하여 '사용자 지정 모델'을 클릭합니다. 그러면 사용자 지정 모델 페이지로 이동합니다. 이 페이지에는 모델과 훈련 작업이라는 두 개의 탭이 있습니다. 두 탭 모두 오른쪽에 ‘모델 사용자 지정’ 드롭다운 메뉴를 제공합니다. 드롭다운 메뉴에서 ‘지속적인 사전 훈련’을 선택하여 ‘지속적인 사전 훈련 작업 생성’으로 이동합니다. 소스 모델, 이름, 모델 암호화, 입력 데이터, 하이퍼파라미터 및 출력 데이터를 입력합니다. 또한 작업의 AWS Identity and Access Management(IAM)역할 및 리소스 정책에 대한 세부 정보와 함께 태그를 제공할 수 있습니다."
Amazon Titan 모델이란 무엇인가요?,"Amazon Bedrock에서만 독점적으로 제공되는 Amazon Titan 모델 제품군에는 비즈니스 전반에 걸쳐 AI 및 기계 학습을 사용하여 혁신해 온 Amazon의 25년 경험이 담겨 있습니다. Amazon Titan 파운데이션 모델(FM)은 완전 관리형 API를 통해 고객에게 다양한 고성능 이미지, 멀티모달 및 텍스트 모델을 제공합니다. Amazon Titan 모델은 AWS에서 만들고 대규모 데이터 세트를 대상으로 사전 훈련되므로 다양한 사용 사례를 지원하면서 동시에 AI의 책임 있는 사용도 지원하도록 구축된 강력한 범용 모델입니다. 그대로 사용하거나 자체 데이터로 비공개로 사용자 지정할 수 있습니다.Amazon Titan에 대해 자세히 알아보세요."
Amazon Titan FM의 개발 및 훈련을 위해 처리되는 데이터에 대한 자세한 내용은 어디에서 확인할 수 있나요?,Amazon Titan FM 개발 및 훈련을 위해 처리되는 데이터에 대해 자세히 알아보려면Amazon Titan Model Training & Privacy 페이지로 이동하세요.
Amazon Bedrock Knowledge Bases에 연결할 수 있는 데이터 소스는 무엇인가요?,"웹, Amazon Simple Storage Service(Amazon S3), Confluence(평가판), Salesforce(평가판), SharePoint(평가판)를 비롯하여 다양한 소스에서 콘텐츠를 수집할 수 있습니다. 또한 스트리밍 데이터 또는 지원되지 않는 소스의 데이터를 프로그래밍 방식으로 수집할 수 있습니다. 또한 Redshift 데이터웨어하우스 및 AWS Glue Data Catalog와 같은 정형 데이터 소스에 연결할 수 있습니다."
Amazon Bedrock Knowledge Bases는 정형 데이터 소스에서 데이터를 어떻게 검색하나요?,"Amazon Bedrock Knowledge Bases는 자연어를 실행 가능한 SQL 쿼리로 변환하고 데이터를 검색할 수 있는 관리형 자연어를 SQL에 제공하므로, 이러한 소스의 데이터를 사용하여 애플리케이션을 빌드할 수 있습니다."
Amazon Bedrock Knowledge Bases는 연속 대화를 지원하나요?,예. 세션 컨텍스트 관리가 기본 제공되므로 애플리케이션에서 여러 상호 작용에 걸쳐 컨텍스트를 유지할 수 있습니다. 이는 연속 대화를 지원하는 데 필수적입니다.
Amazon Bedrock Knowledge Bases는 검색된 정보에 대한 소스 속성을 제공하나요?,"예, 검색된 모든 정보에는 인용이 포함되므로 투명성이 향상되고 생성된 응답의 할루시네이션 위험이 최소화됩니다."
Amazon Bedrock Knowledge Bases는 어떤 멀티모달 기능을 제공하나요?,"Amazon Bedrock Knowledge Bases는 멀티모달 데이터 처리를 지원하므로 개발자는 이미지, 차트, 다이어그램, 테이블을 비롯한 텍스트 및 시각적 데이터를 모두 분석하는 생성형 AI 애플리케이션을 빌드할 수 있습니다. 모델 응답은 텍스트뿐만 아니라 시각적 요소에서 얻은 인사이트를 활용하여 더 정확하고 컨텍스트에 맞는 답변을 제공할 수 있습니다. 또한 응답의 소스 저작권 표시에 시각적 요소가 포함되어 있어 응답의 투명성과 신뢰도가 향상됩니다."
Amazon Bedrock Knowledge Bases는 어떤 멀티모달 데이터 형식을 지원하나요?,"Amazon Bedrock Knowledge Bases는 이미지, 표, 차트 및 다이어그램을 포함할 수 있는 PDF 형식의 시각적으로 풍부한 문서를 처리할 수 있습니다. 이미지 전용 데이터의 경우 Bedrock Knowledge Bases는 JPEG 및 PNG와 같은 표준 이미지 형식을 지원하므로 사용자가 텍스트 기반 쿼리에 따라 관련 이미지를 검색할 수 있게 됩니다."
Amazon Bedrock Knowledge Bases에서 사용할 수 있는 다양한 구문 분석 옵션은 무엇인가요?,고객은 Bedrock Knowledge Bases에 대해 세 가지 분석 옵션을 사용할 수 있습니다. 텍스트 전용 처리의 경우 내장된 기본 Bedrock 파서를 추가 비용 없이 사용할 수 있어 멀티모달 데이터 처리가 필요하지 않을 때 적합합니다. Amazon Bedrock Data Automation(BDA) 또는 파운데이션 모델을 사용하여 멀티모달 데이터를 구문 분석할 수 있습니다. 자세한 내용은제품 설명서를 참조하세요.
Amazon Bedrock Knowledge Bases는 어떻게 데이터 보안을 보장하고 워크플로의 복잡성을 관리하나요?,"Amazon Bedrock Knowledge Base는 콘텐츠 비교, 장애 처리, 처리량 제어, 암호화와 같은 다양한 워크플로 복잡성을 처리하므로 AWS의 엄격한 보안 표준에 따라 데이터를 안전하게 처리하고 관리할 수 있습니다."
Amazon Bedrock 모델 평가란 무엇인가요?,"Amazon Bedrock의 모델 평가 기능을 활용하면 몇 단계만 거쳐서 파운데이션 모델(FM)을 평가하고 비교한 후 사용 사례에 가장 적합한 모델을 선택할 수 있습니다. Amazon Bedrock에서는 자동 평가와 인적 평가 중 원하는 방식을 선택할 수 있습니다. 정확도, 안정성, 유해성 등의 미리 정의된 지표를 적용하여 자동 평가를 사용할 수 있습니다. 호감도, 스타일, 브랜드와의 통일성과 같은 주관적 지표나 사용자 지정 지표의 경우 인적 평가 워크플로를 사용할 수 있습니다. 인적 평가에서는 사내 직원이나 AWS 관리 팀을 검토자로 활용할 수 있습니다. Amazon Bedrock의 모델 평가는 큐레이트된 데이터세트를 기본으로 제공하거나 자체 데이터세트를 가져올 수 있습니다."
어떤 지표를 기준으로 FM을 평가할 수 있나요?,"자동 평가를 사용할 때는 정확성, 견고성, 유해성 등 사전 정의된 다양한 지표를 평가할 수 있습니다. 호감도, 관련성, 스타일, 브랜드와의 통일성과 같은 주관적 지표나 사용자 지정 지표의 경우 인적 평가 워크플로를 사용할 수도 있습니다."
인간 기반 평가와 자동 평가의 차이점은 무엇인가요?,"자동 평가를 사용하면 사용 가능한 FM 목록을 표준 기준(예: 정확도, 유해성 및 견고성)과 비교하여 빠르게 좁힐 수 있습니다. 인적 기반 평가는 인간의 판단이 필요하고 자동 평가가 없을 수 있는 경우(예: 브랜드 표현, 창의적 의도, 친근감)에 보다 미묘하거나 주관적인 기준을 평가하는 데 자주 사용됩니다."
자동 평가 방법은 어떻게 작동하나요?,"큐레이트된 기본 제공 데이터세트를 활용하거나 자체 프롬프트 데이터세트를 가져와서 정확성, 견고성 및 유해성과 같은 지표에 대해 Amazon Bedrock 모델을 신속하게 평가할 수 있습니다. 추론을 위해 프롬프트 데이터 세트를 Amazon Bedrock 모델로 전송하면 각 차원에 대한 평가 알고리즘을 사용하여 모델 응답에 대한 점수가 매겨집니다. 개별 프롬프트 응답 점수는 백엔드 엔진에서 요약 점수로 집계되고 이해하기 쉬운 시각적 보고서로 제공됩니다."
인적 평가는 어떻게 작동하나요?,Amazon Bedrock을 사용하면 단 시간에 인적 검토 워크플로를 설정하고 사내 직원을 데려오거나 AWS 관리 전문 팀을 활용하여 모델을 평가할 수 있습니다. Amazon Bedrock의 직관적인 인터페이스를 통해 추천 및 비추천을 클릭하거나 1~5점의 점수로 평가하거나 여러 응답 중에서 가장 좋은 것을 선택하거나 프롬프트 순위를 매기는 방식으로 모델 응답을 검토하고 피드백을 제공할 수 있습니다. 예를 들어 동일한 프롬프트에 대한 두 모델의 응답을 팀 구성원에게 보여주고 더 정확하고 관련성이 높거나 문체가 좋은 출력을 표시하는 모델을 선택하도록 요청할 수 있습니다. 팀의 평가 UI에 표시할 지침과 버튼을 사용자 지정하여 중요한 평가 기준을 지정할 수 있습니다. 모델 평가의 전반적인 목표와 예제가 포함된 자세한 지침을 제공하여 사용자가 지침에 맞게 작업을 수행하도록 할 수도 있습니다. 이 방법은 인간의 판단이 필요한 주관적 기준이나 자동 평가로는 쉽게 판단할 수 없는 보다 미묘한 주제 전문 지식을 평가하는 데 유용합니다.
Amazon Bedrock Guardrails란 무엇인가요?,Amazon Bedrock Guardrails를 사용하면 사용 사례 및 책임 있는 AI 정책을 기반으로 생성형 AI 애플리케이션에 대한 보호 장치를 구현할 수 있습니다. 다양한 사용 사례에 맞춰진 여러 가드레일을 만들고 여러 파운데이션 모델(FM) 전반에 적용하여 일관된 사용자 환경을 제공하고 다양한 생성형 AI 애플리케이션에서 안전 및 프라이버시 제어를 표준화할 수 있습니다.
Amazon Bedrock 가드레일에서 사용할 수 있는 보호 장치로는 어떤 것이 있나요?,"가드레일을 사용하면 생성형 AI 애플리케이션을 보호하는 데 도움이 되는 6개 정책을 정의하는 데 도움이 됩니다. Amazon Bedrock Guardrails에서 다음과 같은 정책을 구성할 수 있습니다.멀티모달 콘텐츠 필터- 증오, 모욕, 성적, 폭력, 위법 행위, 프롬프트 공격 등의 범주에서 유해한 텍스트 또는 이미지 콘텐츠를 탐지하고 필터링하기 위한 임계값을 구성하는 데 도움이 됩니다.거부 토픽- 애플리케이션의 컨텍스트에서 바람직하지 않은 주제 세트를 정의합니다. 이 필터는 사용자 쿼리 또는 모델 응답에서 해당하는 내용이 감지될 경우 차단하는 데 유용합니다.단어 필터- 원치 않는 단어, 문구, 욕설(정확히 일치하는 경우)을 차단하는 데 유용한 필터를 구성합니다. 이러한 단어에는 불쾌감을 주는 용어, 경쟁사 이름 등이 포함될 수 있습니다.민감한 정보 필터- 개인 식별 정보(PII) 또는 사용자 입력, 모델 응답의 사용자 지정 정규식 등, 민감한 정보를 차단하거나 마스킹하는 데 유용한 필터를 구성합니다. 차단 또는 마스킹은 SSN 번호, 생년월일, 주소 등 표준 형식으로 개체에 포함된 민감한 정보를 확률적으로 탐지하는 방식으로 수행됩니다. 또한 정규 표현식 기반 식별자 패턴 감지도 구성할 수 있습니다.문맥적 근거- 응답이 소스 정보에 근거하지 않고(예: 사실적으로 부정확하거나 새로운 정보) 사용자의 쿼리 또는 명령과 관련이 없는 경우 할루시네이션을 탐지하고 필터링하는 문맥적 근거 검사를 지원합니다.자동 추론 검사- 자동 추론 정책이라고 하는 정형의 수학적 지식 표현과 비교하여, 생성된 콘텐츠에서 사실의 부정확성을 찾아내고, 수정 사항을 제안하고, 응답이 정확한 이유를 설명하도록 돕습니다."
