question,answer
Amazon SageMaker Studio란 무엇인가요?,"Amazon SageMaker Studio는 모든 기계 학습 개발 단계를 수행할 수 있는 웹 기반의 단일 시각적 인터페이스를 제공합니다. SageMaker Studio는 데이터를 준비하고 모델을 구축, 훈련 및 배포하는 데 필요한 액세스 권한, 제어 및 가시성을 각 단계별로 완벽하게 제공합니다. 신속하게 데이터를 업로드하고, 새로운 노트북을 생성하며, 모델을 훈련 및 튜닝하고, 단계를 앞뒤로 이동하며 실험을 조정하고, 결과를 비교하며, 모델을 프로덕션에 배포하여 한 곳에서 생산성을 크게 높일 수 있습니다. 노트북, 실험 관리, 자동 모델 생성, 디버깅 및 프로파일링, 모델 드리프트 탐지를 포함한 모든 ML 개발 활동은 통합된 SageMaker Studio 시각적 인터페이스 내에서 수행할 수 있습니다."
SageMaker Studio 요금은 어떻게 적용되나요?,SageMaker Studio 사용에 대한 추가 요금은 없습니다. SageMaker Studio 내에서 사용하는 서비스의 기본 컴퓨팅 및 스토리지 요금만 지불하면 됩니다.
SageMaker Studio는 어느 리전에서 지원되나요?,SageMaker Studio를 지원하는 리전은Amazon SageMaker 개발자 안내서에서 확인할 수 있습니다.
모델에서 불균형을 확인하려면 어떻게 해야 하나요?,"Amazon SageMaker Clarify를 통해 전체 ML 워크플로에서 통계적인 바이어스를 탐지해 모델 투명성을 개선할 수 있습니다. SageMaker Clarify는 데이터 준비 도중, 훈련 후, 시간 경과에 따른 불균형을 검사하고, ML 모델 및 예측을 설명해주는 도구도 포함합니다. 조사 결과는 설명 보고서를 통해 공유할 수 있습니다."
Amazon SageMaker Clarify는 어떤 종류의 바이어스를 탐지하나요?,"ML 모델에서 편향 평가는 편향을 완화하는 첫 단계입니다. 편향은 훈련 전(데이터 준비의 일부), 훈련 후(Amazon SageMaker Experiments 사용), 배포된 모델에 대한 추론 중(Amazon SageMaker Model Monitor 사용)에 평가할 수 있습니다. 20개 이상의 편향 지표는 각각 다른 공정성 개념에 해당합니다. 조사 대상 애플리케이션 및 상황에 적합한 지표를 선택합니다. 예를 들어, 훈련 전에 클래스 불균형, 그룹 간 레이블 분포 차이와 같은 지표를 통해 훈련 데이터가 전체 모집단을 대표하는지 확인합니다. SageMaker Clartiy는 한 그룹이 과소 평가되었는지 여부를 감지하기 위해 긍정적(유리한) 결과 차이와 개별 레이블 분포 차이를 모두 고려합니다. 훈련 후 또는 배포 중에 편향 지표를 사용하면 모델 성능이 그룹 간에 다른지 여부 및 차이를 평가할 수 있습니다. 동등한 대표성 및 차별적 영향과 같은 지표는 긍정적 예측의 차이를 평가합니다. 정밀도(긍정적 예측이 정확할 가능성) 및 재현율(모델이 긍정적인 예를 올바르게 표시했을 가능성)의 차이와 같은 동등한 성과 지표는 그룹 간의 동일한 오류 분포를 평가합니다. 이 블로그 게시물에서 자세히 알아보세요."
SageMaker Clarify는 모델 설명 가능성을 어떻게 개선하나요?,SageMaker Clarify는 SageMaker Experiments에 통합되어 모델 훈련 후에 모델의 전반적인 의사 결정 프로세스에서 각 입력의 중요성을 자세히 설명하는 특성 중요도 그래프를 제공합니다. 이와 같은 세부 정보는 특정 모델 입력이 전체 모델 동작에 미쳐야 하는 것보다 더 많은 영향을 미치는지 확인하는 데 유용할 수 있습니다. SageMaker Clarify는 API를 통해 개별 예측에 대한 설명도 제공할 수 있습니다.
Amazon SageMaker AI란 무엇인가요? Amazon SageMaker와 어떻게 다른가요?,"Amazon SageMaker AI(전 Amazon SageMaker)는 모든 사용 사례에서 저비용 고성능 기계 학습(ML)을 지원하는 다양한 도구 세트를 한데 결합한 완전관리형 서비스입니다. SageMaker AI를 사용하면 ML 모델을 대규모로 구축, 훈련, 배포할 수 있습니다. SageMaker는 데이터, 분석 및 AI를 위한 통합 플랫폼입니다. 고객이 AWS에서 쉽고 빠르게 애플리케이션을 구축할 수 있도록 새로운 AI 기반 통합 개발 환경을 제공합니다."
re:Invent 2024의 새로운 Amazon SageMaker Unified Studio에서는 어떤 SageMaker AI 기능을 사용할 수 있을까요?,"re:Invent 2024에서 지원되는 기능에는 추론 엔드포인트, 빠르게 시작하기, 학습, MLFlow, 모델 레지스트리, 파트너 AI 앱, HyperPod, Pipelines 등이 포함됩니다. 교육부터 배포까지 전체 모델 개발 과정을 지원하는 모든 기존 기능을 새로운 Unified Studio에 통합하기 위해 노력하고 있습니다."
"저는 현재 API, AWS Management Console, Amazon SageMaker 노트북 인스턴스 또는 Amazon SageMaker Studio를 통해 Amazon SageMaker AI를 사용하고 있습니다. 데이터, 분석 및 AI를 위한 새로운 통합 플랫폼이 출시되었는데 기존 워크플로가 계속 작동하도록 하기 위해 어떤 조치를 취해야 하나요?","SageMaker는 데이터를 찾고 액세스하고 이에 따라 조치를 취할 수 있는 통합 데이터 및 AI 경험을 제공하여 분석 및 AI 이니셔티브를 가속화합니다. SageMaker AI는 계속 지원되므로 기존 워크플로가 계속 작동하도록 하기 위해 어떤 조치도 취할 필요가 없습니다. 예를 들어, 기존 Amazon SageMaker HyperPod 클러스터를 그대로 계속 사용할 수 있습니다. 새로운 SageMaker Unified Studio에서 이를 사용하려면 이 클러스터와의 연결을 설정하세요. 기존의 모든 HyperPod 구성이 SageMaker의 프로젝트로 자동으로 마이그레이션되며 성능 및 비용 효율성은 동일합니다. 하지만 SageMaker Unified Studio 환경은 모든 도구를 한 곳으로 가져와 생산성을 향상시킬 수 있습니다."
현재 SageMaker Studio를 사용하고 있으며 SageMaker Unified Studio를 평가하는 데 관심이 있습니다. 시작하려면 어떻게 해야 하나요?,"협업하고 더 빠르게 구축할 수 있는 통합 스튜디오를 발표하게 되어 기쁩니다. SageMaker Unified Studio에서 데이터를 검색하고, 데이터를 쿼리하고, AI 모델을 학습하고, 생성형 AI 애플리케이션을 구축할 수 있습니다. 저희는 모든 단계에서 여러분을 지원하기 위해 여기 있습니다. 2025년 1분기에 기존 프로젝트를 통합 스튜디오로 가져올 수 있는 사용하기 쉬운 지침을 제공할 예정입니다. 궁금한 점이 있으면 주저하지 말고 계정 팀에 문의하세요."
현재 SageMaker Studio에서 사용하는 도구와 새로운 SageMaker Unified Studio에서 사용하는 도구 간에 차이가 있나요?,"SageMaker Studio는 안정적이고 간소화된 ML 개발 경험을 필요로 하는 고객에게 여전히 훌륭한 선택입니다. 데이터 및 분석 기능을 탐색하려는 조직은 새로운 통합 플랫폼의 통합 거버넌스, 고급 분석 및 생성형 AI 기능이 매력적이라는 것을 알게 될 것입니다. 새로운 SageMaker Unified Studio 통합 환경을 통해 데이터를 준비 및 통합하고, SQL을 사용하여 데이터를 찾아보고, 통합 카탈로그를 사용하여 데이터를 검색과 거버넌스할 수 있습니다."
"새로운 SageMaker Unified Studio에서 HyperPod, 빠르게 시작하기, MLFlow, JupyterLab, Pipelines에 액세스할 수 있나요?","예, HyperPod, JumpStart, MLFlow, JupyterLab 및 Pipelines는 모두 새로운 SageMaker Unified Studio에서 사용할 수 있습니다. 또한 추론 엔드포인트, 학습, 모델 레지스트리 및 기타 인기 있는 SageMaker 기능도 새로운 Unified Studio에서 지원됩니다."
새로운 통합 경험이 적용된 일반적인 생성형 AI 워크플로는 어떤 모습일까요?,"과정 1. 파운데이션 모델(FM) 선택, 사용자 지정 및 배포:데이터세트 찾아보기 및 선택FM 선택모델 평가(자동 및 인간)사용자 지정, 미세 조정: FM 가격, 성능 및 품질 최적화추론을 위한 최적화 및 배포FMOps 및 모델 모니터링을 통한 자동화과정 2. ML 모델을 대규모로 구축, 훈련 및 배포:ML을 위한 데이터 준비 가속화 및 규모 조정ML 모델 구축ML 모델 교육 및 튜닝프로덕션 환경에 배포관리 및 모니터링ML 수명 주기 자동화과정 3. 생성형 AI 애플리케이션 모델 선택, 구축 및 배포:모델 선택 및 미세 조정Amazon Bedrock으로 모델 가져오기엔드포인트와 통합되는 생성형 AI 애플리케이션을 구축하고 배포합니다과정 4. 모델을 선택하여 엔드포인트에 배포하고 엔드포인트를 다음의 생성형 AI 앱에 연결합니다.모델 선택모델을 SageMaker 엔드포인트에 배포합니다엔드포인트를 생성형 AI 애플리케이션에 연결합니다"
AI 기반 통합 개발 경험의 요금은 어떻게 책정되나요?,"새로운 통합 개발 경험에는 Studio에 대한 사용자 기반 요금 책정 모델과 모든 기본 서비스에 대한 패스스루 요금 책정이 있습니다. Unified Studio는 메타데이터 스토리지, API 요청 및 거버넌스에 대한 비용을 청구합니다. 자세한 내용은Amazon SageMaker 요금을 참조하세요."
SageMaker는 어떤 ML 거버넌스 도구를 제공하나요?,"SageMaker는 ML 수명 주기 전반에 걸쳐 목적별 ML 거버넌스 도구를 제공합니다. 관리자는 Amazon SageMaker 역할 관리자를 사용하여 최소 권한을 몇 분 만에 정의할 수 있습니다. Amazon SageMaker 모델 카드를 사용하면 필수 모델 정보를 개념 단계부터 배포 단계까지 손쉽게 캡처, 검색 및 공유할 수 있고, Amazon SageMaker 모델 대시보드라는 한 장소에서 프로덕션 모델 동작에 대한 정보를 지속적으로 확인할 수 있습니다. 자세한내용은Amazon SageMaker를 사용한 ML 거버넌스를 참조하세요."
SageMaker 역할 관리자는 어떤 기능을 제공하나요?,"SageMaker 역할 관리자를 사용하면 최소 권한을 몇 분 만에 정의할 수 있습니다. SageMaker 역할 관리자는 사전 구축된 IAM 정책 카탈로그를 통해 ML 활동 및 페르소나에 대한 기본 권한 세트를 제공합니다. 기준 권한을 유지하거나 특정한 요구 사항에 따라 추가로 사용자 지정할 수 있습니다. 몇 가지 셀프 구성 화면을 통해 네트워크 액세스 경계, 암호화 키 등 일반적인 거버넌스 구성을 빠르게 입력할 수 있습니다. 그러면 SageMaker Role Manager가 IAM 정책을 자동으로 생성합니다. AWS IAM 콘솔을 통해 생성된 역할과 관련 정책을 검색할 수 있습니다. 사용 사례에 대한 권한을 추가로 사용자 지정하려면, SageMaker Role Manager에서 생성하는 IAM 역할에 관리형 IAM 정책을 연결합니다. 또한 AWS 서비스 전반에서 역할을 식별하고 구성하는 데 유용한 태그를 추가할 수 있습니다."
SageMaker 모델 카드는 어떤 기능을 제공하나요?,"SageMaker 모델 카드는 모델 정보의 단일 소스를 생성하여 ML 수명 주기 전반에서 모델 설명서를 중앙 집중화하고 표준화하는 데 도움이 됩니다. SageMaker 모델 카드는 훈련 세부 정보를 자동으로 입력하여 문서화 프로세스의 속도를 높여줍니다. 모델의 용도 및 성능 목표와 같은 세부 정보를 추가할 수도 있습니다. 모델 평가 결과를 모델 카드에 첨부하고, 시각화 요소를 제공하여 모델 성능에 대한 주요 인사이트를 얻을 수 있습니다. SageMaker 모델 카드를 PDF 형식으로 내보내 다른 사용자와 손쉽게 공유할 수 있습니다."
SageMaker 모델 대시보드는 어떤 기능을 제공하나요?,"SageMaker 모델 대시보드는 배포된 모델과 엔드포인트에 대한 전반적인 개요 정보를 제공하므로, 단일 창에서 리소스를 추적하고 동작 위반을 모델링할 수 있습니다. 대시보드에서는 4가지 차원으로 모델 동작을 모니터링할 수 있습니다. 예를 들어 데이터 및 모델 품질로 모니터링하거나 SageMaker Model Monitor 및 SageMaker Clarify와 통합할 경우 바이어스 및 특성 기여도 드리프트로 모니터링할 수 있습니다. 또한 SageMaker 모델 대시보드는 누락되고 비활성화된 모델 모니터링 작업과 모델 품질, 데이터 품질, 바이어스 드리프트 및 특성 기여도 드리프트에 대한 모델 동작의 편차에 대한 알림을 설정하고 받을 수 있는 통합 경험을 제공합니다. 개별 모델을 추가로 검사하고 시간 경과에 따라 모델 성능에 영향을 미치는 요인을 분석할 수 있습니다. 그런 다음 ML 실무자와 함께 시정 조치를 취할 수 있습니다."
SageMaker를 빠르게 시작하는 방법은 무엇인가요?,"SageMaker JumpStart를 사용하면 ML을 빠르고 쉽게 시작할 수 있습니다. SageMaker JumpStart는 몇 단계로 손쉽게 배포할 수 있는, 가장 일반적인 사용 사례를 위한 솔루션 세트를 제공합니다. 솔루션은 모든 사용자 지정이 가능하며 AWS CloudFormation 템플릿과 참조 아키텍처 사용을 보여주므로 ML 여정의 속도를 높일 수 있습니다. 또한 SageMaker JumpStart는 기초 모델을 제공하고 한 단계로 배포와 변환 도구, 객체 탐지 및 이미지 분류 모델과 같은 150개가 넘는 널리 사용되는 오픈 소스 모델에 대한 세분화된 튜닝도 지원합니다."
SageMaker JumpStart에서 사용할 수 있는 파운데이션 모델에는 어떤 것이 있나요?,SageMaker JumpStart는 독점 모델과 공개 모델을 제공합니다. 사용 가능한 파운데이션 모델의 목록은Amazon SageMaker JumpStart 시작하기를 참조하세요.
SageMaker JumpStart에서 기초 모델을 사용하려면 어떻게 해야 하나요?,"SageMaker Studio, SageMaker SDK 및 AWS Management Console을 통해 기초 모델에 액세스할 수 있습니다. 독점 파운데이션 모델을 시작하려면AWS Marketplace의 판매 약관에 동의해야 합니다."
SageMaker JumpStart를 사용하는 고객에게 제공되는 기본 모델을 업데이트하는 데 내 데이터가 사용되거나 공유되나요?,아니요. 추론 및 훈련 데이터는 SageMaker JumpStart가 고객에게 제공하는 기본 모델의 업데이트 또는 훈련에 사용되거나 공유되지 않습니다.
SageMaker JumpStart를 통해 독점 모델의 모델 가중치 및 스크립트를 볼 수 있나요?,아니요. 독점 모델에서는 모델 가중치 및 스크립트를 볼 수 없습니다.
SageMaker JumpStart 파운데이션 모델은 어느 리전에서 사용할 수 있나요?,SageMaker Studio를 사용할 수 있는 모든리전에서 모델을 검색할 수 있지만 모델 배포 기능은 필요한 인스턴스 유형의 모델 및 인스턴스 가용성에 따라 다릅니다.AWS Marketplace의 모델 세부 정보 페이지에서 AWS 리전 가용성 및 필요한 인스턴스를 참조할 수 있습니다.
SageMaker JumpStart 파운데이션 모델의 요금은 어떻게 부과되나요?,독점 모델의 경우 모델 제공자가 결정한 소프트웨어 요금과 사용된 인스턴스를 기준으로 한 SageMaker 인프라 요금이 부과됩니다. 공개적으로 사용 가능한 모델의 경우 사용된 인스턴스를 기준으로 한 SageMaker 인프라 요금이 부과됩니다. 자세한 내용은Amazon SageMaker 요금및AWS Marketplace를 참조하세요.
SageMaker JumpStart는 데이터의 보호 및 보안에 어떤 도움이 되나요?,"보안은 AWS의 최우선 과제이며 SageMaker JumpStart는 안전하도록 설계되었습니다. 따라서 SageMaker에서는 콘텐츠를 저장할 장소를 결정하고, 저장 콘텐츠 및 전송 콘텐츠를 보호하며, AWS 서비스와 리소스에 대한 사용자의 액세스를 관리할 수 있는 단순하지만 강력한 도구를 통해 고객에게 콘텐츠에 대한 소유권과 제어권을 제공합니다.AWS는 고객의 훈련 및 추론 정보를 AWS Marketplace의 모델 판매자와 공유하지 않습니다. 마찬가지로 판매자의 모델 아티팩트(예: 모델 가중치)는 구매자와 공유되지 않습니다.SageMaker JumpStart는 고객의 모델, 훈련 데이터 또는 알고리즘을 사용하여 서비스를 개선하지 않으며 고객의 훈련 및 추론 데이터를 서드 파티와 공유하지 않습니다.SageMaker JumpStart에서는 ML 모델 아티팩트가 전송 및 저장 중에 암호화됩니다.AWS Shared Responsibility Model에 따라 AWS는 AWS의 모든 것이 실행되는 글로벌 인프라를 보호할 책임이 있습니다. 이 인프라에서 호스팅되는 콘텐츠에 대한 제어를 유지할 책임은 사용자에게 있습니다.AWS Marketplace 또는 SageMaker JumpStart의 모델을 사용할 때 사용자는 모델 출력 품질에 대한 책임을 지고 개별 모델 설명에 설명된 기능 및 한계를 인정합니다."
SageMaker JumpStart에서 지원하는 공개 모델로는 어떤 것이 있나요?,"SageMaker JumpStart에는 PyTorch Hub 및 TensorFlow Hub의 사전 훈련된 공개 모델이 150개 이상 포함되어 있습니다. 이미지 분류 및 객체 탐지와 같은 비전 태스크의 경우 RESNET, MobileNet, Single-Shot Detector(SSD)와 같은 모델을 사용할 수 있습니다. 문장 분류, 텍스트 분류, 질문 답변과 같은 텍스트 태스크의 경우 BERT, RoBERTa, DistilBERT와 같은 모델을 사용할 수 있습니다."
ML 아티팩트를 조직 내의 다른 사용자와 공유하려면 어떻게 해야 하나요?,SageMaker JumpStart를 사용하면 노트북 및 모델을 포함한 ML 아티팩트를 조직 내에서 손쉽게 공유할 수 있습니다. 관리자는 정의된 사용자 집합이 액세스할 수 있는 리포지토리를 설정할 수 있습니다. 리포지토리 액세스 권한이 있는 모든 사용자는 모델 및 노트북과 SageMaker JumpStart 내부의 공개 콘텐츠를 찾아보고 검색하고 사용할 수 있습니다. 사용자는 SageMaker JumpStart에서 아티팩트를 선택하여 모델을 훈련하고 엔드포인트를 배포하며 노트북을 실행할 수 있습니다.
조직 내의 다른 사용자와 ML 아티팩트를 공유할 때 SageMaker JumpStart를 사용해야 하는 이유는 무엇인가요?,SageMaker JumpStart를 사용하면 구축하는 ML 애플리케이션의 출시를 가속화할 수 있습니다. 조직 내에서 한 팀이 구축한 모델 및 노트북을 단 몇 단계로 손쉽게 조직 내의 다른 팀과 공유할 수 있습니다. 내부에서 지식을 공유하고 자산을 재사용하면 조직의 생산성이 크게 개선될 수 있습니다.
파운데이션 모델을 평가하고 선택하려면 어떻게 해야 하나요?,"이제 Amazon SageMaker Clarify에서 파운데이션 모델 평가가 지원됩니다. 특정 사용 사례에 가장 적합한 파운데이션 모델을 평가, 비교, 선택할 수 있습니다. 주어진 태스크(예: 질문 답변 또는 콘텐츠 요약)에 대해 평가하려는 모델을 선택하기만 하면 됩니다. 그런 다음 평가 기준(예: 정확성, 공정성, 견고성)을 선택하고 자체 프롬프트 데이터 세트를 업로드하거나 공개적으로 사용 가능한 기본 제공 데이터 세트 중에서 선택합니다. 정교한 인간의 판단이 필요한 주관적 기준 또는 미묘한 콘텐츠의 경우 자체 인력을 활용하거나 AWS에서 제공하는 관리형 인력을 사용하여 응답을 검토할 수 있습니다. 설정 프로세스를 마치면 SageMaker Clarify에서 평가가 실행되고 보고서가 생성되므로 주요 기준에 대한 모델의 성능을 쉽게 이해할 수 있습니다. 평가 마법사를 사용하여 SageMaker JumpStart의 파운데이션 모델을 평가하거나 오픈 소스 라이브러리를 사용하여 AWS에서 호스팅되지 않는 모든 파운데이션 모델을 평가할 수 있습니다."
관리자는 사용자가 사용할 수 있는 항목을 제어할 수 있나요?,예. 관리자는 여러 AWS 계정 및 사용자 보안 주체에서 사용자가 어떤 Amazon SageMaker JumpStart 모델을 보고 사용할 수 있는지 제어할 수 있습니다. 자세한 내용은설명서를 참조하세요.
추론 최적화 도구 키트가 무엇인가요?,"추론 최적화 도구 키트를 사용하면 최신 추론 최적화 기법을 쉽게 구현하여 Amazon SageMaker에서 최첨단(SOTA) 비용 대비 성능을 달성하는 동시에 몇 개월의 개발자 시간을 절약할 수 있습니다. SageMaker가 제공하는 인기 최적화 기법 메뉴에서 선택하여 최적화 작업을 미리 실행하고, 성능 및 정확도 지표에 대한 모델을 벤치마킹한 다음 추론을 위해 최적화된 모델을 SageMaker 엔드포인트에 배포할 수 있습니다. 도구 키트가 모델 최적화의 모든 측면을 처리하므로 비즈니스 목표에 더 집중할 수 있습니다."
추론 최적화 도구 키트를 사용해야 하는 이유는 무엇인가요?,"추론 최적화 도구 키트는 생성형 AI 애플리케이션의 비용 대비 성능과 출시 시간 개선에 도움이 됩니다. 완전관리형 모델 최적화 도구 키트를 통해 사용하기 쉬운 도구로 최신 최적화 기법을 이용할 수 있습니다. 또한 도구 키트가 최첨단 혁신, 새로운 하드웨어 및 호스팅 기능에 맞춰 지속적으로 조정되므로 시간이 지남에 따라 사용 가능한 최상의 솔루션으로 쉽게 업그레이드할 수 있습니다.추론 최적화 도구 키트는 추측 디코딩, 양자화, 컴파일 같은 최적화 기법을 지원합니다. 클릭 몇 번으로 모델에 추가할 최적화를 선택할 수 있으며, 하드웨어 조달, 최적화 작업을 실행할 딥 러닝 컨테이너 및 해당 튜닝 파라미터 선택, 사용자가 제공한 S3 위치에 최적화된 모델 아티팩트 저장 등 차별화되지 않는 힘든 일은 모두 Amazon SageMaker가 관리합니다.추측 디코딩의 경우 SageMaker가 제공하는 초안 모델을 사용하여 시작할 수 있으므로 자체 초안 모델을 처음부터 구축하지 않아도 되고 요청 라우팅 및 시스템 수준 최적화가 필요 없습니다. 양자화의 경우 사용하려는 정밀도 유형을 선택하고 벤치마킹 작업을 시작하여 성능과 정확도의 균형을 측정하기만 하면 됩니다. Amazon SageMaker는 포괄적인 평가 보고서를 생성하므로 성능과 정확도의 균형을 쉽게 분석할 수 있습니다. 컴파일에서는 가장 인기 있는 모델과 구성의 경우 Amazon SageMaker가 엔드포인트 설정 및 규모 조정 중에 컴파일된 모델 아티팩트를 자동으로 가져옵니다. 따라서 미리 컴파일 작업을 실행할 필요가 없어 하드웨어 비용이 절약됩니다.Amazon SageMaker 추론 최적화 도구 키트를 사용하면 GenAI 모델 최적화에 드는 비용과 시간을 줄여 비즈니스 목표에 집중할 수 있습니다."
Amazon SageMaker Canvas란 무엇인가요?,"SageMaker Canvas는 마우스 클릭 방식의 직관적인 인터페이스를 제공하는 노코드 서비스로, 데이터에서 매우 정확한 ML 기반 예측을 생성하는 데 사용할 수 있습니다. SageMaker Canvas를 사용하면 드래그 앤 드롭 방식의 사용자 인터페이스를 사용하여 다양한 소스의 데이터에 액세스하고 이러한 데이터를 결합할 수 있습니다. 데이터가 자동으로 정리되고 준비되므로 수동 정리 작업이 최소화됩니다. SageMaker Canvas는 다양한 최첨단 ML 알고리즘을 적용하여 고도로 정확한 예측 모델을 찾으며, 예측을 수행할 수 있는 직관적인 인터페이스를 제공합니다. SageMaker Canvas를 사용하면 다양한 비즈니스 애플리케이션에서 훨씬 더 정확한 예측을 수행하고 모델, 데이터 및 보고서를 공유하여 기업의 데이터 사이언티스트 및 분석가와 쉽게 협업할 수 있습니다. SageMaker Canvas에 대해 자세히 알아보려면Amazon SageMaker Canvas FAQ를 참조하세요."
SageMaker Canvas 요금은 어떻게 부과되나요?,"SageMaker Canvas 요금은 사용량에 따라 부과됩니다. SageMaker Canvas를 사용하면 여러 소스의 데이터를 대화형으로 수집, 탐색 및 준비하고, 데이터를 사용하여 고도로 정확한 ML 모델을 훈련하고 예측을 생성할 수 있습니다. 요금은 2가지 구성 요소로 결정됩니다. 세션 요금은 SageMaker Canvas를 사용하거나 로그인한 시간에 따라 부과되며 모델 훈련 요금은 모델 구축 시 사용한 데이터 세트의 크기에 따라 부과됩니다. 자세한 내용은Amazon SageMaker Canvas 요금을 참조하세요."
