listid,sellerid,eventid,dateid,numtickets,priceperticket,totalprice,listtime
100,38557,6307,2063,24,133.0,3192.0,2008-08-25 12:23:43
101,37592,3340,1870,3,36.0,108.0,2008-02-13 09:07:34
103,26314,15,2025,1,181.0,181.0,2008-07-18 03:36:39
104,46810,4887,1829,26,102.0,2652.0,2008-01-03 06:33:06
105,13651,5732,1927,22,212.0,4664.0,2008-04-11 08:11:04
106,12538,250,1876,14,109.0,1526.0,2008-02-19 03:12:37
107,2112,5221,2039,7,107.0,749.0,2008-08-01 01:21:57
108,42630,940,2137,20,237.0,4740.0,2008-11-07 10:27:42
109,2576,2887,1867,22,208.0,4576.0,2008-02-10 12:32:51
110,49386,5994,1882,7,30.0,210.0,2008-02-25 07:11:39
111,8700,3091,1840,2,77.0,154.0,2008-01-14 06:15:27
112,18796,3951,2045,7,94.0,658.0,2008-08-07 06:49:13
113,29704,4699,2075,22,176.0,3872.0,2008-09-06 07:40:49
114,29625,2711,2119,28,250.0,7000.0,2008-10-20 10:19:05
115,39115,3513,2062,14,137.0,1918.0,2008-08-24 06:39:31
116,43314,8675,1910,28,238.0,6664.0,2008-03-25 05:04:52
117,804,1200,2015,3,149.0,447.0,2008-07-08 11:21:58
118,6079,1611,1862,9,47.0,423.0,2008-02-05 04:19:00
119,10123,4157,1970,6,29.0,174.0,2008-05-24 06:19:01
120,30866,7562,1955,9,81.0,729.0,2008-05-09 09:39:22
121,36856,219,2004,8,52.0,416.0,2008-06-27 06:56:16
122,3210,4213,2040,4,199.0,796.0,2008-08-02 02:52:30
123,6954,1440,2135,12,128.0,1536.0,2008-11-05 10:43:13
124,24514,5784,1860,16,182.0,2912.0,2008-02-03 07:27:05
125,48921,2562,2105,2,248.0,496.0,2008-10-06 04:55:37
126,48593,747,1854,18,240.0,4320.0,2008-01-28 06:14:26
127,26188,2074,1973,16,124.0,1984.0,2008-05-27 06:12:06
128,15894,121,2039,18,133.0,2394.0,2008-08-01 08:35:59
129,9939,7213,2157,6,242.0,1452.0,2008-11-27 01:10:55
130,18520,4708,1922,14,203.0,2842.0,2008-04-06 08:08:00
131,43153,1042,2162,3,215.0,645.0,2008-12-02 04:04:01
132,18558,5134,2024,18,66.0,1188.0,2008-07-17 05:27:35
133,25352,1252,2051,18,196.0,3528.0,2008-08-13 08:37:26
134,23905,4496,2073,26,121.0,3146.0,2008-09-04 04:56:26
135,14384,238,1944,6,214.0,1284.0,2008-04-28 01:13:25
136,266,5232,1947,9,103.0,927.0,2008-05-01 02:13:19
137,10713,161,2012,8,146.0,1168.0,2008-07-05 09:10:52
138,23922,1382,1982,12,66.0,792.0,2008-06-05 06:56:09
139,32876,243,1993,12,185.0,2220.0,2008-06-16 10:50:20
140,26132,5550,2160,5,132.0,660.0,2008-11-30 11:48:23
141,48839,1450,2007,5,184.0,920.0,2008-06-30 09:22:49
142,11367,8224,2034,7,138.0,966.0,2008-07-27 09:58:14
143,23663,7590,1946,16,54.0,864.0,2008-04-30 06:23:06
144,12561,3770,1947,6,192.0,1152.0,2008-05-01 06:49:33
145,46259,994,2026,26,146.0,3796.0,2008-07-19 08:23:41
146,13914,3226,2111,9,208.0,1872.0,2008-10-12 08:35:43
147,44950,8764,1902,22,239.0,5258.0,2008-03-17 07:39:42
148,49976,3548,2090,3,130.0,390.0,2008-09-21 03:40:43
149,24496,6358,1892,1,240.0,240.0,2008-03-07 12:58:39
150,46955,908,2060,10,136.0,1360.0,2008-08-22 08:16:00
151,33851,8211,1904,9,218.0,1962.0,2008-03-19 02:21:15
152,31758,2936,1977,1,231.0,231.0,2008-05-31 11:40:08
153,38360,2240,1941,12,201.0,2412.0,2008-04-25 09:10:32
155,15155,7533,1966,22,193.0,4246.0,2008-05-20 11:28:23
156,3065,2264,2105,24,53.0,1272.0,2008-10-06 11:23:51
157,34422,1436,2012,6,81.0,486.0,2008-07-05 07:01:03
158,13027,6007,2047,9,206.0,1854.0,2008-08-09 12:36:36
159,46181,6347,2036,22,162.0,3564.0,2008-07-29 10:03:58
160,9209,8370,2052,6,115.0,690.0,2008-08-14 01:54:38
161,18310,7142,1840,4,58.0,232.0,2008-01-14 06:39:34
162,27703,2906,1852,12,142.0,1704.0,2008-01-26 07:20:03
163,24880,8253,1888,14,176.0,2464.0,2008-03-03 03:07:42
164,44863,997,1981,30,110.0,3300.0,2008-06-04 11:56:50
165,49947,6937,1988,28,194.0,5432.0,2008-06-11 12:56:06
166,39695,3393,1883,9,186.0,1674.0,2008-02-26 12:56:06
167,9389,6583,1870,16,46.0,736.0,2008-02-13 03:55:08
168,8163,1303,1897,30,172.0,5160.0,2008-03-12 08:42:03
169,1439,7853,2037,30,132.0,3960.0,2008-07-30 09:09:18
170,41730,4329,1839,16,153.0,2448.0,2008-01-13 03:07:35
171,45642,6239,2070,26,210.0,5460.0,2008-09-01 08:16:06
172,14894,2805,2101,7,43.0,301.0,2008-10-02 02:15:16
173,5546,6730,1959,9,41.0,369.0,2008-05-13 03:00:09
174,2575,3376,2055,28,45.0,1260.0,2008-08-17 11:35:33
175,7910,4661,1978,30,194.0,5820.0,2008-06-01 10:04:48
176,3941,3097,2143,9,20.0,180.0,2008-11-13 07:40:19
177,3894,6610,2090,14,88.0,1232.0,2008-09-21 12:39:45
178,20825,4576,1914,24,200.0,4800.0,2008-03-29 02:25:50
179,34250,3901,1857,18,75.0,1350.0,2008-01-31 12:32:22
180,28510,6683,2028,20,89.0,1780.0,2008-07-21 05:00:16
181,22001,1953,1879,16,229.0,3664.0,2008-02-22 02:36:48
183,42527,6053,2107,6,202.0,1212.0,2008-10-08 10:06:05
184,11132,5545,1945,2,243.0,486.0,2008-04-29 10:43:37
185,32694,6505,2060,4,26.0,104.0,2008-08-22 04:06:29
186,22964,5893,2010,24,42.0,1008.0,2008-07-03 01:15:00
187,26704,7645,2120,5,234.0,1170.0,2008-10-21 07:36:30
188,31422,1626,2026,18,182.0,3276.0,2008-07-19 10:35:32
189,1571,3339,1839,24,144.0,3456.0,2008-01-13 04:37:50
190,29662,807,2181,20,148.0,2960.0,2008-12-21 11:00:48
191,32706,6378,2080,8,189.0,1512.0,2008-09-11 10:37:08
192,17718,7462,1852,2,61.0,122.0,2008-01-26 06:11:23
193,14237,6824,2092,18,154.0,2772.0,2008-09-23 01:35:40
194,24348,3889,2107,8,202.0,1616.0,2008-10-08 12:56:58
195,48581,1039,1934,26,163.0,4238.0,2008-04-18 01:01:55
197,15230,1387,2173,1,55.0,55.0,2008-12-13 03:08:15
198,20343,8511,1923,22,74.0,1628.0,2008-04-07 12:14:25
199,42587,361,1915,16,34.0,544.0,2008-03-30 07:40:36
200,41470,3638,2075,14,22.0,308.0,2008-09-06 09:48:47
201,42403,3182,2046,20,87.0,1740.0,2008-08-08 10:51:38
202,3058,8790,1977,12,243.0,2916.0,2008-05-31 07:47:57
203,5269,5775,1893,22,84.0,1848.0,2008-03-08 05:24:26
204,22572,7431,1899,2,27.0,54.0,2008-03-14 06:33:02
206,5822,3912,1912,26,217.0,5642.0,2008-03-27 02:52:58
208,14628,2376,1828,2,98.0,196.0,2008-01-02 06:23:17
209,24066,5498,1983,9,180.0,1620.0,2008-06-06 08:15:41
210,10688,3782,1899,1,144.0,144.0,2008-03-14 10:46:36
211,6362,1144,1944,30,98.0,2940.0,2008-04-28 02:22:04
212,4764,4428,2149,8,229.0,1832.0,2008-11-19 09:29:00
213,943,8573,1847,28,41.0,1148.0,2008-01-21 03:11:16
214,31484,3272,1881,22,237.0,5214.0,2008-02-24 02:49:32
215,30481,3406,1978,20,97.0,1940.0,2008-06-01 06:21:47
216,3139,1131,2130,24,170.0,4080.0,2008-10-31 02:15:47
217,26638,1903,2119,26,84.0,2184.0,2008-10-20 09:03:19
218,48129,7895,1893,22,82.0,1804.0,2008-03-08 09:53:32
219,24016,2496,2013,18,162.0,2916.0,2008-07-06 03:53:43
220,48036,5389,2040,7,233.0,1631.0,2008-08-02 04:39:48
221,20119,1206,2126,28,215.0,6020.0,2008-10-27 04:29:33
222,20847,1377,1926,30,249.0,7470.0,2008-04-10 11:20:30
223,10802,8501,1891,28,200.0,5600.0,2008-03-06 04:41:47
224,16409,7214,1958,12,109.0,1308.0,2008-05-12 06:15:35
225,4585,4233,1881,28,189.0,5292.0,2008-02-24 06:39:12
226,6662,8372,2159,7,147.0,1029.0,2008-11-29 08:32:56
227,20818,5130,2031,2,214.0,428.0,2008-07-24 10:54:12
228,19214,6444,2030,10,112.0,1120.0,2008-07-23 02:29:11
229,26178,2007,2143,24,218.0,5232.0,2008-11-13 10:54:09
230,44569,3057,2012,18,220.0,3960.0,2008-07-05 01:38:51
231,21568,1077,2091,14,229.0,3206.0,2008-09-22 01:22:15
232,25503,2934,2012,30,49.0,1470.0,2008-07-05 05:47:01
233,22351,5174,1943,16,243.0,3888.0,2008-04-27 11:09:59
234,14523,8063,2085,5,36.0,180.0,2008-09-16 11:59:24
235,37928,1184,1945,28,191.0,5348.0,2008-04-29 08:22:53
236,10049,6959,2010,18,26.0,468.0,2008-07-03 07:32:04
237,9011,2969,2141,10,48.0,480.0,2008-11-11 07:48:18
238,8356,6052,1862,26,225.0,5850.0,2008-02-05 06:23:54
239,3636,2113,1845,30,250.0,7500.0,2008-01-19 12:22:22
240,36398,5987,2088,1,56.0,56.0,2008-09-19 08:56:10
241,8525,3172,2048,4,159.0,636.0,2008-08-10 09:23:29
242,25271,7669,1872,18,222.0,3996.0,2008-02-15 07:55:06
243,48913,7902,2109,18,160.0,2880.0,2008-10-10 08:54:12
244,20900,725,2084,6,92.0,552.0,2008-09-15 05:11:05
245,37229,436,1934,6,235.0,1410.0,2008-04-18 06:34:24
246,145,5172,1964,1,70.0,70.0,2008-05-18 03:35:53
247,8591,2672,1904,3,199.0,597.0,2008-03-19 03:27:24
248,34385,7062,1896,28,183.0,5124.0,2008-03-11 04:27:58
249,14209,3525,1922,14,28.0,392.0,2008-04-06 09:49:15
250,21944,7955,1845,18,30.0,540.0,2008-01-19 07:54:41
251,13735,974,1918,14,162.0,2268.0,2008-04-02 09:17:02
252,404,490,1906,7,203.0,1421.0,2008-03-21 01:34:11
253,47361,1374,1942,9,34.0,306.0,2008-04-26 03:51:11
254,23887,6669,1943,5,246.0,1230.0,2008-04-27 07:29:16
255,26193,7143,1828,12,56.0,672.0,2008-01-02 08:58:57
256,26716,4641,1950,7,28.0,196.0,2008-05-04 05:45:00
257,7181,2249,1951,20,122.0,2440.0,2008-05-05 05:03:17
258,31810,7118,1950,3,143.0,429.0,2008-05-04 11:50:46
259,38464,6885,2154,4,127.0,508.0,2008-11-24 04:21:55
260,12976,8101,1889,4,125.0,500.0,2008-03-04 10:45:19
261,29946,3038,2071,26,26.0,676.0,2008-09-02 12:38:35
262,46920,6794,2035,30,87.0,2610.0,2008-07-28 05:00:42
263,381,8343,1890,20,179.0,3580.0,2008-03-05 01:59:37
264,17021,2072,2017,18,214.0,3852.0,2008-07-10 12:58:33
265,11982,5932,1876,20,66.0,1320.0,2008-02-19 03:45:07
267,23965,4288,2127,28,135.0,3780.0,2008-10-28 12:01:11
268,17856,2492,2060,10,121.0,1210.0,2008-08-22 07:51:41
269,48328,5801,1989,28,133.0,3724.0,2008-06-12 07:10:12
270,8786,6141,1863,9,116.0,1044.0,2008-02-06 09:31:00
271,8051,1861,2100,9,232.0,2088.0,2008-10-01 06:47:46
272,44194,2886,2107,30,75.0,2250.0,2008-10-08 03:25:19
273,3551,6943,2125,5,146.0,730.0,2008-10-26 06:15:02
274,38077,7773,1851,14,70.0,980.0,2008-01-25 06:44:26
275,34369,7,1865,5,68.0,340.0,2008-02-08 03:13:18
276,30941,7871,1998,24,128.0,3072.0,2008-06-21 12:17:14
277,32129,1987,1856,4,229.0,916.0,2008-01-30 10:54:54
278,4616,5893,1992,18,186.0,3348.0,2008-06-15 10:27:26
279,36040,7093,2052,7,139.0,973.0,2008-08-14 06:02:58
280,41126,6685,2054,14,81.0,1134.0,2008-08-16 12:48:58
281,43774,4491,2131,5,209.0,1045.0,2008-11-01 10:46:48
282,14585,7266,1855,5,73.0,365.0,2008-01-29 09:48:09
283,18230,602,2109,26,150.0,3900.0,2008-10-10 06:24:59
285,423,8485,1926,24,201.0,4824.0,2008-04-10 07:56:54
286,34764,4443,2140,20,228.0,4560.0,2008-11-10 10:04:02
287,2446,1155,1941,28,121.0,3388.0,2008-04-25 08:23:06
288,3970,4166,2070,22,221.0,4862.0,2008-09-01 06:49:25
289,7484,8317,2109,2,150.0,300.0,2008-10-10 05:27:28
290,12099,332,2101,28,67.0,1876.0,2008-10-02 12:55:12
291,32285,4353,1829,7,183.0,1281.0,2008-01-03 08:28:25
292,22685,6427,2091,30,246.0,7380.0,2008-09-22 11:12:25
293,2768,7156,2053,5,67.0,335.0,2008-08-15 03:40:52
294,36013,6130,2036,14,149.0,2086.0,2008-07-29 10:29:01
296,33133,7506,2038,22,182.0,4004.0,2008-07-31 08:01:20
298,35755,4611,1960,1,86.0,86.0,2008-05-14 10:29:59
299,48972,2682,2038,28,35.0,980.0,2008-07-31 11:18:23
300,47991,6666,2007,22,99.0,2178.0,2008-06-30 07:30:17
301,35240,4466,2018,12,21.0,252.0,2008-07-11 02:23:56
302,15038,3757,2033,24,143.0,3432.0,2008-07-26 12:18:13
303,15696,7110,2041,1,34.0,34.0,2008-08-03 11:22:01
304,41138,552,1900,26,132.0,3432.0,2008-03-15 02:09:35
305,32393,7584,2117,16,126.0,2016.0,2008-10-18 06:15:40
306,28088,4081,2088,22,94.0,2068.0,2008-09-19 11:48:49
307,18823,7824,2132,4,200.0,800.0,2008-11-02 02:30:13
308,6829,6617,1898,16,175.0,2800.0,2008-03-13 04:16:06
309,16496,3933,2067,12,49.0,588.0,2008-08-29 12:43:45
310,9522,1833,1862,18,196.0,3528.0,2008-02-05 04:27:03
311,3470,4463,2119,8,62.0,496.0,2008-10-20 09:14:44
312,12828,567,1889,7,161.0,1127.0,2008-03-04 09:23:34
313,46574,3583,2062,2,169.0,338.0,2008-08-24 05:00:36
314,2302,7252,1966,24,129.0,3096.0,2008-05-20 06:18:21
315,38820,311,2129,7,158.0,1106.0,2008-10-30 10:39:54
316,803,8544,1917,26,133.0,3458.0,2008-04-01 07:07:30
317,26488,8178,2016,12,203.0,2436.0,2008-07-09 07:41:45
318,42091,7514,1864,9,214.0,1926.0,2008-02-07 03:41:42
319,44828,1304,2045,7,160.0,1120.0,2008-08-07 10:30:23
320,4450,5878,2026,3,246.0,738.0,2008-07-19 04:53:50
321,44084,1237,1844,20,198.0,3960.0,2008-01-18 03:35:02
323,26692,8773,1946,6,166.0,996.0,2008-04-30 09:17:20
325,32,7444,2041,2,115.0,230.0,2008-08-03 05:08:42
327,42450,4784,2001,20,28.0,560.0,2008-06-24 07:31:25
328,8489,3552,1843,1,181.0,181.0,2008-01-17 05:26:11
329,9502,3158,1841,12,41.0,492.0,2008-01-15 04:45:39
330,8192,2614,1859,18,89.0,1602.0,2008-02-02 05:52:34
331,24276,5518,1888,4,216.0,864.0,2008-03-03 09:41:32
332,1945,7480,2009,22,184.0,4048.0,2008-07-02 08:18:01
333,4994,7044,2102,18,110.0,1980.0,2008-10-03 09:38:55
335,5670,3957,2094,10,236.0,2360.0,2008-09-25 11:48:41
336,32339,7042,1836,1,75.0,75.0,2008-01-10 04:33:44
337,44728,2963,1845,5,25.0,125.0,2008-01-19 10:42:38
338,1368,2150,2023,18,110.0,1980.0,2008-07-16 01:46:40
340,21948,4201,1841,4,123.0,492.0,2008-01-15 04:19:00
341,402,8199,2083,30,48.0,1440.0,2008-09-14 03:13:56
342,11300,303,2132,3,149.0,447.0,2008-11-02 11:54:28
343,16451,2064,1876,26,201.0,5226.0,2008-02-19 12:06:58
344,5257,1091,2091,1,182.0,182.0,2008-09-22 07:06:11
345,33760,7951,2012,9,49.0,441.0,2008-07-05 12:59:17
346,4766,4843,2018,12,139.0,1668.0,2008-07-11 10:33:37
347,18512,2925,1934,22,80.0,1760.0,2008-04-18 11:09:47
348,42011,2218,2025,22,62.0,1364.0,2008-07-18 01:20:49
349,34039,4417,1961,9,243.0,2187.0,2008-05-15 04:49:17
350,6239,4612,2018,24,161.0,3864.0,2008-07-11 05:53:17
351,36019,2718,1906,28,21.0,588.0,2008-03-21 06:07:23
352,45893,6685,2034,12,238.0,2856.0,2008-07-27 06:29:46
353,13386,8500,2079,28,154.0,4312.0,2008-09-10 10:54:19
354,42751,2031,2090,20,213.0,4260.0,2008-09-21 11:10:33
355,34852,6387,1863,22,98.0,2156.0,2008-02-06 03:30:17
356,27694,6335,2153,1,156.0,156.0,2008-11-23 04:31:42
357,38435,1439,2000,1,175.0,175.0,2008-06-23 04:48:18
358,30041,1464,2108,28,48.0,1344.0,2008-10-09 06:37:55
359,32096,878,1830,7,183.0,1281.0,2008-01-04 11:49:28
360,38869,7312,1898,5,170.0,850.0,2008-03-13 06:06:19
361,36225,7857,2131,3,198.0,594.0,2008-11-01 11:29:01
363,20937,7981,1835,26,188.0,4888.0,2008-01-09 05:06:20
364,30532,5303,1856,28,20.0,560.0,2008-01-30 08:15:25
365,1062,8542,2132,6,192.0,1152.0,2008-11-02 06:28:55
366,38035,7099,1900,7,190.0,1330.0,2008-03-15 12:17:25
367,13407,4359,2061,28,227.0,6356.0,2008-08-23 02:44:13
368,2522,1379,2092,5,148.0,740.0,2008-09-23 11:14:43
370,45885,456,1960,1,195.0,195.0,2008-05-14 03:27:37
371,2563,3886,1885,9,200.0,1800.0,2008-02-28 09:56:05
373,1863,8652,2000,28,239.0,6692.0,2008-06-23 11:46:47
374,2001,1893,2108,7,109.0,763.0,2008-10-09 10:11:05
375,17841,1887,2016,6,39.0,234.0,2008-07-09 10:30:20
376,512,2312,2157,8,50.0,400.0,2008-11-27 05:54:47
377,17717,8054,2134,10,79.0,790.0,2008-11-04 02:16:55
379,13878,7233,2062,2,237.0,474.0,2008-08-24 07:19:34
380,32592,8052,1872,6,146.0,876.0,2008-02-15 05:20:53
381,13100,5128,2019,30,79.0,2370.0,2008-07-12 05:30:16
382,38411,2813,1981,20,53.0,1060.0,2008-06-04 07:47:25
383,46799,3423,1948,14,40.0,560.0,2008-05-02 04:22:02
384,44305,2102,2101,20,211.0,4220.0,2008-10-02 06:51:47
385,26053,3945,1969,7,62.0,434.0,2008-05-23 04:23:01
386,45135,3540,2066,1,123.0,123.0,2008-08-28 06:42:15
387,46108,8498,2095,1,204.0,204.0,2008-09-26 08:29:37
388,21750,7161,2030,10,158.0,1580.0,2008-07-23 05:57:05
389,15980,2833,2129,24,154.0,3696.0,2008-10-30 08:29:51
390,42100,2145,1884,9,125.0,1125.0,2008-02-27 02:15:17
391,21629,6690,1973,16,47.0,752.0,2008-05-27 10:46:27
393,22222,7899,1920,7,85.0,595.0,2008-04-04 04:03:52
394,37874,6369,1906,14,152.0,2128.0,2008-03-21 02:15:37
395,48416,491,2030,14,114.0,1596.0,2008-07-23 02:31:09
396,17023,6383,2040,9,199.0,1791.0,2008-08-02 01:05:40
397,47936,1584,1845,1,179.0,179.0,2008-01-19 05:52:22
399,20832,6848,2066,22,79.0,1738.0,2008-08-28 04:20:46
400,43277,8033,1936,16,37.0,592.0,2008-04-20 11:15:22
401,45071,1099,1965,12,249.0,2988.0,2008-05-19 10:23:30
402,17144,7163,1898,28,65.0,1820.0,2008-03-13 07:40:10
403,16154,555,2047,4,130.0,520.0,2008-08-09 11:21:17
404,38104,1335,1912,30,161.0,4830.0,2008-03-27 06:24:08
405,41902,7006,2017,5,216.0,1080.0,2008-07-10 10:43:07
406,21601,6707,1924,26,149.0,3874.0,2008-04-08 02:09:13
407,25039,8713,2107,16,211.0,3376.0,2008-10-08 09:12:14
408,12504,1984,1872,22,235.0,5170.0,2008-02-15 02:49:49
409,12225,3655,1952,14,84.0,1176.0,2008-05-06 08:28:00
410,43231,3781,1854,1,180.0,180.0,2008-01-28 10:02:05
411,2398,3463,1851,16,151.0,2416.0,2008-01-25 06:22:39
412,24150,1702,2049,3,232.0,696.0,2008-08-11 06:33:52
414,39336,8613,2108,9,227.0,2043.0,2008-10-09 01:40:32
415,9037,5141,1969,3,46.0,138.0,2008-05-23 10:00:44
416,11028,4965,1912,16,91.0,1456.0,2008-03-27 07:28:19
417,42432,1144,1895,2,49.0,98.0,2008-03-10 08:45:23
418,38202,5946,1915,4,222.0,888.0,2008-03-30 05:50:06
419,44341,2560,2107,16,159.0,2544.0,2008-10-08 02:16:59
420,3050,6804,1865,3,22.0,66.0,2008-02-08 01:48:02
421,6579,564,1993,18,243.0,4374.0,2008-06-16 01:31:37
423,2128,8299,2027,26,33.0,858.0,2008-07-20 05:28:26
424,10584,8519,2048,30,61.0,1830.0,2008-08-10 07:55:34
425,15188,7215,1891,14,172.0,2408.0,2008-03-06 02:23:13
426,24612,3418,1888,30,52.0,1560.0,2008-03-03 11:05:04
427,14426,2808,1934,8,211.0,1688.0,2008-04-18 02:55:02
429,28518,7512,1943,10,201.0,2010.0,2008-04-27 08:55:15
430,46248,5678,1878,3,219.0,657.0,2008-02-21 03:33:14
431,13808,8429,1842,1,179.0,179.0,2008-01-16 01:10:43
432,44808,4,2055,4,106.0,424.0,2008-08-17 05:55:40
433,15453,6496,1916,14,49.0,686.0,2008-03-31 08:02:13
434,30365,1176,2048,3,106.0,318.0,2008-08-10 05:55:32
435,4198,4997,1920,18,22.0,396.0,2008-04-04 04:58:06
436,31960,7919,2036,22,22.0,484.0,2008-07-29 01:33:50
437,15394,333,1887,7,116.0,812.0,2008-03-02 12:47:41
